,0,1,2,3,4,5,6,7,8,output
281,x,b,b,x,o,b,x,o,b,1
10,x,x,x,x,b,o,o,b,o,1
259,x,b,o,o,x,x,o,b,x,1
571,b,o,o,o,x,b,x,x,x,1
311,o,x,x,b,x,o,o,x,b,1
135,x,o,x,o,b,x,b,o,x,1
624,b,b,b,o,b,o,x,x,x,1
210,x,o,b,o,x,o,b,x,x,1
30,x,x,x,o,o,b,o,b,x,1
580,b,o,b,x,x,x,b,o,b,1
483,o,b,b,b,b,o,x,x,x,1
192,x,o,b,x,x,o,o,b,x,1
594,b,b,x,o,x,o,x,b,b,1
589,b,b,x,x,o,x,o,o,x,1
300,o,x,x,o,x,o,x,o,x,1
56,x,x,x,b,o,o,x,o,b,1
196,x,o,b,x,o,x,x,b,o,1
536,b,o,x,o,x,x,o,b,x,1
235,x,b,x,o,b,x,o,o,x,1
272,x,b,o,b,x,b,o,b,x,1
24,x,x,x,o,o,x,o,b,b,1
82,x,x,o,x,o,b,x,o,b,1
158,x,o,o,x,o,x,x,x,o,1
544,b,o,x,o,o,x,b,x,x,1
220,x,o,b,b,x,b,o,b,x,1
591,b,b,x,o,x,x,o,o,x,1
70,x,x,x,b,b,o,o,x,o,1
456,o,b,x,b,b,x,o,b,x,1
513,b,x,o,b,x,b,o,x,b,1
370,o,o,x,x,x,x,b,b,o,1
60,x,x,x,b,o,o,b,x,o,1
399,o,o,x,b,x,b,x,o,x,1
497,b,x,o,x,x,x,o,b,o,1
209,x,o,b,o,x,o,x,b,x,1
595,b,b,x,o,x,b,x,o,b,1
451,o,b,x,b,x,b,x,b,o,1
556,b,o,x,b,x,b,x,b,o,1
174,x,o,o,o,x,b,x,b,x,1
382,o,o,x,o,x,x,x,o,x,1
250,x,b,o,x,o,o,x,b,x,1
301,o,x,x,o,x,o,x,b,b,1
29,x,x,x,o,o,b,o,x,b,1
380,o,o,x,x,b,x,b,o,x,1
101,x,x,b,x,o,o,x,o,b,1
218,x,o,b,b,x,o,o,x,x,1
292,x,b,b,b,x,o,o,b,x,1
274,x,b,o,b,o,o,x,x,x,1
403,o,o,x,b,o,b,x,x,x,1
271,x,b,o,b,x,o,b,b,x,1
203,x,o,b,x,b,o,x,o,x,1
499,b,x,o,x,x,o,o,x,b,1
340,o,x,o,b,x,b,x,x,o,1
284,x,b,b,x,b,o,x,b,o,1
231,x,b,x,o,x,b,x,o,o,1
81,x,x,o,x,o,o,x,b,b,1
341,o,x,o,b,x,b,o,x,x,1
109,x,x,b,o,x,b,o,x,o,1
374,o,o,x,x,x,b,x,o,b,1
227,x,b,x,o,x,o,x,o,b,1
63,x,x,x,b,o,b,x,o,o,1
155,x,o,o,x,x,b,x,b,o,1
72,x,x,x,b,b,o,o,b,b,1
383,o,o,x,o,x,x,x,b,b,1
584,b,o,b,o,o,x,x,x,x,1
118,x,o,x,x,b,o,x,o,b,1
585,b,o,b,o,b,b,x,x,x,1
310,o,x,x,b,x,o,x,b,o,1
581,b,o,b,x,x,x,b,b,o,1
211,x,o,b,o,x,b,x,o,x,1
140,x,o,x,b,x,b,x,o,o,1
346,o,x,b,x,x,x,o,b,o,1
228,x,b,x,o,x,o,x,b,o,1
606,b,b,x,b,o,x,b,o,x,1
188,x,o,b,x,x,x,o,b,o,1
398,o,o,x,b,x,b,x,x,o,1
651,x,x,o,b,o,x,o,x,o,0
943,x,x,o,o,o,x,x,x,o,0
699,x,o,b,x,o,x,b,o,b,0
819,o,o,o,x,x,b,b,b,x,0
683,x,o,x,o,o,b,x,o,x,0
791,o,x,b,x,o,b,b,x,o,0
906,b,x,o,b,o,b,o,x,x,0
805,o,o,x,x,o,x,b,x,o,0
835,o,o,o,b,x,x,x,x,o,0
821,o,o,o,x,o,x,x,b,x,0
701,x,o,b,o,o,x,x,o,x,0
635,x,x,o,x,o,b,o,o,x,0
944,x,x,o,o,o,x,x,o,x,0
752,o,x,x,o,x,b,o,o,x,0
897,b,x,o,x,o,o,o,x,x,0
758,o,x,x,o,o,o,x,b,x,0
740,o,x,x,x,x,b,o,o,o,0
772,o,x,x,b,o,b,x,b,o,0
702,x,o,b,b,o,x,x,o,b,0
825,o,o,o,x,b,x,x,b,b,0
735,x,b,b,x,b,x,o,o,o,0
763,o,x,x,o,b,x,o,b,b,0
920,b,o,x,b,o,b,x,o,x,0
823,o,o,o,x,b,x,x,x,o,0
631,x,x,o,x,o,o,o,x,b,0
736,x,b,b,o,o,o,x,x,b,0
886,b,x,x,o,o,o,o,x,x,0
948,x,o,x,o,x,x,o,x,o,0
789,o,x,b,x,o,o,x,x,o,0
947,x,o,x,x,o,o,o,x,x,0
793,o,x,b,o,x,x,o,b,b,0
926,b,o,b,x,o,b,x,o,x,0
689,x,o,x,b,o,b,b,o,x,0
710,x,b,x,o,o,o,x,o,x,0
855,o,b,x,x,o,b,b,x,o,0
811,o,o,o,x,x,o,x,x,b,0
807,o,o,x,x,o,b,x,o,x,0
913,b,x,b,b,x,x,o,o,o,0
672,x,o,x,x,x,b,o,o,o,0
744,o,x,x,x,o,o,b,x,o,0
659,x,x,o,b,b,o,b,x,o,0
668,x,x,b,o,o,o,b,x,b,0
852,o,b,x,x,o,x,b,b,o,0
806,o,o,x,x,o,b,x,x,o,0
739,x,b,b,b,x,x,o,o,o,0
698,x,o,b,x,o,x,o,o,x,0
803,o,o,x,x,o,x,x,o,b,0
671,x,x,b,b,b,x,o,o,o,0
727,x,b,o,o,o,x,o,x,x,0
937,b,b,o,x,o,x,o,b,x,0
720,x,b,o,x,o,x,o,o,x,0
853,o,b,x,x,o,o,x,x,o,0
829,o,o,o,x,b,b,x,x,b,0
642,x,x,o,o,o,x,o,b,x,0
734,x,b,b,x,x,b,o,o,o,0
872,o,b,b,x,o,x,b,x,o,0
633,x,x,o,x,o,o,b,x,o,0
681,x,o,x,o,o,o,x,b,x,0
773,o,x,x,b,o,b,b,x,o,0
849,o,o,b,o,x,x,o,x,x,0
922,b,o,o,x,o,x,x,o,x,0
918,b,o,x,x,o,b,b,o,x,0
884,b,x,x,o,o,o,x,o,x,0
629,x,x,o,x,o,x,o,o,b,0
703,x,o,b,b,o,x,b,o,x,0
866,o,b,x,b,o,b,x,x,o,0
686,x,o,x,b,o,x,b,o,b,0
