,0_1,0_2,0_3,0_4,0_5,1_1,1_2,1_3,1_4,1_5,2_1,2_2,2_3,2_4,2_5,3_1,3_2,3_3,3_4,3_5,output
94,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1
35,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
248,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
544,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1
148,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
46,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1
383,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
309,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1
382,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
53,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1
522,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
144,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
142,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
258,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
409,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1
524,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
27,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
507,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
96,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1
123,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1
82,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1
418,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1
448,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1
119,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1
193,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1
261,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
7,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
17,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
217,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
313,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1
79,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1
291,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
388,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
192,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
69,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1
95,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
221,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1
124,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
108,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1
469,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1
574,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1
149,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
393,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
399,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
41,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
19,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
322,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
288,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1
516,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
72,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
318,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1
514,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
65,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
573,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1
447,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1
539,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1
