0,1,2,3
26.94,34.38,-20.59,0
29.22,6.81,1.06,1
8.29,39.78,-19.89,1
47.99,40.55,18.14,1
48.43,35.54,21.78,1
8.52,39.97,-45.94,0
49.7,46.34,30.79,1
49.7,42.52,31.35,1
3.45,49.29,-8.84,1
48.37,8.08,47.16,1
7.78,9.63,-19.55,0
29.55,47.53,-49.47,0
34.56,32.26,3.27,1
28.46,36.07,-37.75,0
46.97,42.83,3.06,1
32.67,35.38,-2.11,0
17.7,46.45,-14.81,1
1.98,26.95,-8.1,1
23.95,33.77,-2.33,1
37.41,20.77,29.38,1
28.19,28.87,-20.38,0
22.67,36.54,-3.92,1
26.59,37.54,-21.56,0
13.16,17.16,-45.76,0
44.84,26.37,32.88,1
28.56,14.1,40.95,1
7.29,27.35,-28.82,0
44.1,18.65,25.94,1
25.06,8.3,7.41,1
33.27,25.64,40.74,1
15.26,31.36,-16.57,1
21.69,39.77,-28.73,0
27.61,35.87,-29.62,0
13.05,13.81,-26.45,0
1.31,9.14,-15.55,0
47.67,25.44,41.47,1
45.92,24.27,45.87,1
44.1,14.58,32.61,1
6.23,16.28,-7.65,0
7.42,48.99,-33.15,0
21.58,11.95,27.87,0
43.65,28.99,32.51,1
10.9,31.56,-8.49,1
24.08,46.71,-6.74,1
26.53,18.42,36.26,1
3.35,20.15,-44.9,0
12.7,22.43,-2.16,0
40.51,18.39,17.94,1
20.1,18.51,36.08,0
17.7,11.91,1.02,0
24.32,19.97,1.71,0
39.59,35.96,33.96,1
45.58,45.16,46.54,1
15.75,33.78,-15.25,1
42.49,47.59,-32.74,0
47.15,31.72,21.43,1
29.82,21.6,35.34,1
30.33,29.87,19.23,1
26.23,44.27,-29.26,0
6.32,11.02,-26.36,0
20.23,44.1,-47.43,0
10.55,7.92,41.58,0
38.98,43.86,-25.69,0
8.59,49.49,-18.67,1
28.54,45.39,-18.35,0
38.12,22.05,47.05,1
4.36,37.71,-35.88,0
40.73,48.42,-35.74,0
5.3,14.04,-1.82,0
45.88,36.74,45.8,1
4.72,28.48,-39.05,0
12.12,5.23,29.04,0
5.36,22.62,-46.68,0
20.65,2.26,48.97,0
40.21,35.3,10.93,1
32.47,17.63,37.04,1
25.39,44.11,-24.96,0
27.08,19.06,46.69,1
41.62,33.36,11.82,1
44.21,48.08,-25.77,0
0.56,49.94,-4.34,1
29.36,48.13,-9.81,0
5.82,5.22,43.4,0
33.9,13.21,15.95,1
20.39,49.28,-14.7,1
14.85,2.42,40.55,0
9.79,27.19,-7.3,1
7.72,33.06,-47.03,0
31.74,33.39,-31.24,0
38.87,11.35,28.13,1
15.0,7.86,25.5,0
29.1,14.54,35.26,1
20.65,40.94,-7.44,1
15.12,21.35,-32.89,0
16.44,18.57,-28.78,0
6.69,27.83,-37.01,0
7.71,42.92,-21.12,1
1.68,49.66,-4.99,1
45.64,4.85,30.57,1
7.83,13.81,-0.15,0
43.35,1.04,0.39,1
26.78,31.52,-25.09,0
2.27,46.54,-46.16,0
30.71,5.69,14.13,1
15.45,40.82,-14.9,1
43.85,17.89,28.29,1
7.95,12.68,-49.13,0
30.66,47.03,-14.5,0
36.11,14.55,41.57,1
12.2,36.47,-2.49,1
3.18,44.04,-9.86,1
25.54,23.88,8.83,1
28.6,14.78,48.35,1
42.48,13.72,8.17,1
40.77,15.83,49.44,1
12.72,27.64,-37.25,0
44.9,31.86,36.7,1
9.54,45.43,-5.37,1
27.72,20.18,29.96,1
11.59,19.62,-40.21,0
15.43,33.12,-3.41,1
29.36,4.81,39.36,1
48.43,8.1,42.59,1
7.46,26.26,-43.2,0
46.13,47.12,-43.58,0
42.74,32.3,44.76,1
16.47,23.15,-26.25,0
11.1,36.7,-16.23,1
24.0,34.93,-33.12,0
35.65,30.89,6.75,1
40.18,1.96,40.25,1
8.55,26.34,-45.98,0
39.66,49.95,-31.86,0
25.06,40.77,-23.53,0
4.52,43.22,-3.42,1
15.41,7.31,25.16,0
48.13,46.8,44.47,1
14.21,25.7,-3.93,1
43.77,2.3,3.87,1
24.82,31.54,-15.43,1
28.82,44.06,-4.3,0
35.54,41.65,-42.93,0
14.61,41.68,-30.38,0
3.67,17.58,-8.09,0
37.46,15.22,18.16,1
26.24,5.98,16.68,1
40.58,16.94,46.79,1
1.28,3.71,-31.26,0
16.88,9.53,23.8,0
0.39,19.7,-27.1,0
14.51,31.95,-18.71,1
30.46,32.93,-3.67,0
12.78,11.61,49.05,0
20.17,21.16,-34.64,0
46.74,25.38,16.79,1
22.34,33.53,-0.84,1
34.07,33.89,30.9,1
22.79,15.53,40.0,0
20.77,49.17,-0.86,1
32.4,3.43,36.8,1
10.56,18.27,-5.78,0
9.38,9.45,-13.02,0
40.03,5.45,15.03,1
43.99,26.82,13.72,1
21.02,32.63,-23.34,1
43.94,23.47,23.33,1
46.71,21.43,8.89,1
9.79,32.36,-16.56,1
7.09,45.45,-40.8,0
16.45,10.42,42.46,0
2.93,38.42,-39.23,0
8.96,9.13,-18.74,0
3.12,31.8,-15.12,1
6.85,5.53,19.81,0
35.72,30.39,35.89,1
11.7,36.22,-48.91,0
3.37,41.26,-15.49,1
17.24,26.05,-3.59,1
46.6,1.17,12.52,1
27.97,20.55,14.38,1
28.69,37.85,-16.44,0
4.63,32.06,-31.14,0
12.55,23.91,-41.42,0
5.22,18.46,-15.08,0
15.93,27.52,-35.96,0
2.08,36.09,-5.69,1
20.14,49.29,-43.3,0
23.58,45.62,-13.2,1
11.75,44.83,-26.02,0
4.65,9.13,-5.34,0
33.59,42.44,-43.77,0
1.44,13.92,-26.36,0
30.35,3.15,11.76,1
8.51,19.15,-0.49,0
31.23,0.29,46.1,1
4.79,31.75,-46.45,0
9.81,18.4,-2.89,0
46.18,44.7,6.06,1
1.63,39.03,-46.82,0
31.63,23.14,31.69,1
36.84,19.47,40.19,1
20.49,28.28,-37.28,0
39.26,12.55,37.21,1
43.95,29.51,18.34,1
11.83,23.5,-14.29,0
31.83,21.08,13.14,1
30.16,1.72,35.37,1
24.57,11.8,3.49,0
37.68,33.62,44.36,1
18.6,32.96,-10.25,1
28.92,17.05,33.25,1
34.5,34.23,37.74,1
37.06,36.37,31.83,1
37.98,29.79,27.68,1
26.71,32.68,-10.91,0
43.42,16.87,20.16,1
17.78,15.65,46.57,0
15.95,29.78,-37.96,0
44.91,33.45,30.71,1
25.15,17.5,32.19,1
11.58,38.53,-8.91,1
44.47,37.06,24.61,1
33.77,4.17,16.34,1
17.8,27.67,-45.2,0
12.84,31.49,-42.4,0
35.38,14.78,36.29,1
1.96,16.92,-31.62,0
46.49,14.12,22.4,1
46.16,12.77,32.93,1
47.11,16.21,12.35,1
33.7,25.93,38.39,1
20.13,10.7,39.87,0
25.91,43.47,-2.9,0
7.96,5.36,7.03,0
1.76,0.72,4.33,0
27.16,7.37,25.67,1
29.23,16.64,12.34,1
17.45,25.2,-5.41,1
29.74,25.85,47.8,1
36.59,38.92,-27.74,0
14.36,23.74,-24.85,0
8.32,46.03,-13.1,1
12.46,13.38,-34.02,0
9.71,43.61,-33.57,0
12.97,46.02,-45.25,0
38.47,23.04,20.44,1
9.29,12.02,-36.45,0
7.96,3.23,11.11,0
31.21,38.74,-31.08,0
39.07,13.97,1.64,1
48.02,29.69,36.13,1
47.92,46.86,14.9,1
36.65,1.63,40.29,1
46.44,28.17,27.84,1
6.97,30.31,-5.65,1
14.52,11.06,24.59,0
32.25,12.25,9.1,1
16.15,26.28,-23.95,1
6.81,29.06,-49.39,0
40.53,1.31,48.36,1
34.23,13.85,29.92,1
20.71,15.74,42.06,0
22.96,42.64,-1.93,1
40.11,26.1,13.68,1
4.27,19.57,-25.12,0
21.56,36.78,-35.47,0
27.65,3.32,22.36,1
37.53,6.58,27.28,1
45.17,2.58,10.71,1
0.88,47.0,-1.58,1
24.8,31.19,-16.36,1
38.52,31.14,31.82,1
2.95,22.15,-30.74,0
27.5,30.05,-42.0,0
34.78,33.36,28.03,1
10.85,28.37,-21.43,1
45.26,15.81,40.05,1
23.08,21.85,6.83,0
36.86,6.95,26.11,1
41.69,9.3,1.89,1
10.53,8.77,19.91,0
6.1,14.51,-30.59,0
5.33,12.62,-46.86,0
19.42,7.16,6.18,0
0.8,1.11,-27.95,0
5.77,12.8,-47.74,0
37.75,27.11,8.67,1
10.0,4.61,11.37,0
16.35,6.65,15.21,0
7.52,7.51,0.32,0
35.47,19.1,17.23,1
4.1,6.51,-31.7,0
26.25,43.37,-15.79,0
39.0,16.17,40.58,1
49.6,15.25,38.44,1
23.6,48.49,-5.02,1
36.26,15.15,41.59,1
0.52,6.52,-14.41,0
16.2,21.57,-11.79,0
44.41,47.14,-15.52,0
10.16,6.21,15.42,0
15.33,26.33,-18.66,1
13.31,32.34,-48.53,0
24.31,49.28,-33.78,0
41.51,23.39,17.88,1
34.95,20.56,28.25,1
19.73,43.47,-0.58,1
20.62,23.06,-13.22,0
5.3,5.05,5.15,0
40.47,28.2,4.95,1
35.24,6.55,36.54,1
0.99,7.23,-26.09,0
48.19,29.62,49.61,1
5.4,46.63,-21.5,1
26.14,36.93,-29.34,0
39.36,30.35,40.94,1
24.6,40.07,-25.68,0
44.73,15.59,18.69,1
48.11,13.98,3.5,1
28.91,33.57,-38.09,0
37.82,26.58,33.04,1
37.99,38.05,-37.05,0
12.51,11.64,31.59,0
34.38,2.01,11.43,1
25.95,31.25,-12.24,0
32.73,29.96,1.15,1
35.59,14.16,12.38,1
48.58,15.07,17.78,1
7.77,1.35,32.06,0
38.69,12.28,22.2,1
27.64,16.21,1.78,1
40.75,32.14,12.97,1
24.87,45.01,-22.75,1
18.66,15.57,39.86,0
49.72,40.89,35.46,1
35.65,13.1,39.93,1
4.9,28.95,-8.69,1
5.49,26.49,-39.06,0
49.8,23.71,11.59,1
19.27,42.5,-40.49,0
17.73,34.11,-40.19,0
1.07,25.24,-13.0,1
27.74,25.45,35.15,1
9.99,49.08,-10.61,1
43.39,23.1,27.95,1
30.59,10.5,30.28,1
46.32,38.8,5.18,1
1.46,36.63,-30.32,0
34.17,20.17,17.16,1
26.73,19.13,25.61,1
39.01,22.99,45.47,1
27.92,47.29,-27.13,0
15.93,10.42,26.37,0
46.89,18.76,48.57,1
49.93,19.42,20.41,1
40.03,46.15,-38.49,0
1.59,25.68,-41.86,0
7.84,31.47,-12.16,1
26.35,6.67,43.36,1
40.22,37.91,49.37,1
21.8,5.49,36.83,0
31.92,15.83,22.63,1
11.73,29.81,-4.84,1
38.81,20.21,18.3,1
0.26,26.81,-29.18,0
39.54,46.03,-11.98,0
22.35,26.22,-39.71,0
25.74,49.55,-43.94,0
16.39,15.42,48.96,0
49.57,9.87,24.22,1
4.97,15.97,-42.89,0
41.3,23.14,20.34,1
30.81,34.66,-0.9,0
24.43,21.39,16.74,0
11.81,24.26,-2.08,0
2.37,34.53,-6.45,1
30.2,38.09,-12.1,0
36.6,31.3,45.49,1
12.86,48.65,-36.39,0
25.74,8.83,22.41,1
37.36,22.61,16.21,1
49.69,37.14,23.33,1
13.35,48.05,-10.53,1
26.45,1.39,10.16,1
4.3,26.75,-45.27,0
39.09,30.22,11.62,1
25.83,30.73,-45.07,0
2.09,35.58,-26.54,0
32.41,14.59,26.76,1
2.83,23.18,-26.55,0
46.34,46.58,-3.23,0
41.92,4.58,10.81,1
40.69,5.24,5.57,1
11.47,12.42,-8.38,0
42.83,13.39,19.26,1
7.53,29.52,-29.26,0
27.71,6.65,33.81,1
28.15,5.7,40.35,1
32.82,44.66,-5.1,0
42.99,34.11,32.44,1
12.7,44.91,-7.33,1
16.98,36.75,-13.04,1
9.45,21.37,-18.63,0
19.61,4.63,45.69,0
1.99,4.3,-18.48,0
39.22,3.48,3.46,1
17.95,19.06,-12.51,0
11.28,41.01,-26.18,0
26.46,31.75,-32.43,0
1.58,41.8,-23.73,1
40.33,1.93,34.0,1
45.06,5.57,3.29,1
16.4,48.31,-2.95,1
17.11,18.81,-47.74,0
40.27,0.59,28.63,1
6.61,47.65,-30.16,0
41.71,13.45,32.54,1
17.44,12.48,43.93,0
0.61,23.06,-21.77,0
45.57,30.67,41.86,1
31.82,13.1,16.52,1
49.78,21.0,27.41,1
16.04,26.8,-21.33,1
32.17,9.77,23.38,1
37.0,2.37,36.5,1
49.43,41.93,33.24,1
16.77,15.15,9.24,0
3.42,31.75,-8.75,1
16.85,16.4,46.72,0
24.47,17.56,48.6,0
24.86,29.57,-38.0,0
4.46,18.83,-46.44,0
20.68,17.77,41.87,0
1.96,25.39,-1.02,1
17.73,14.83,27.36,0
16.91,40.93,-31.84,0
26.82,37.51,-32.02,0
49.31,13.54,40.28,1
39.34,45.95,-48.89,0
23.38,20.36,6.37,0
8.79,0.03,2.56,0
4.1,0.92,22.47,0
0.01,24.86,-36.46,0
31.25,46.54,-13.07,0
7.97,4.39,30.16,0
17.64,15.63,34.67,0
30.55,6.24,22.94,1
34.21,1.84,24.37,1
2.87,9.84,-24.75,0
11.62,21.53,-37.44,0
16.77,9.86,2.49,0
39.04,14.31,1.18,1
9.23,7.06,19.24,0
37.3,47.5,-45.67,0
22.38,22.13,1.85,0
46.14,39.3,5.19,1
12.56,17.66,-5.34,0
32.57,30.92,2.45,1
3.05,40.75,-35.43,0
38.16,33.79,14.34,1
1.09,47.25,-3.61,1
5.17,23.01,-23.07,0
39.26,16.61,21.9,1
2.0,22.28,-15.41,0
19.24,36.7,-0.16,1
3.62,46.14,-35.67,0
45.79,40.03,18.97,1
3.88,23.48,-29.83,0
7.25,49.0,-30.09,0
37.38,38.71,-44.62,0
13.43,30.58,-30.42,0
45.14,44.3,11.94,1
26.28,28.41,-33.35,0
14.26,47.54,-32.92,0
30.49,38.3,-28.47,0
23.96,12.1,40.52,0
44.43,33.41,29.52,1
35.37,7.09,49.33,1
20.75,11.28,27.27,0
29.39,38.23,-36.93,0
44.18,13.46,3.51,1
28.14,41.49,-11.89,0
49.06,27.99,44.26,1
13.07,47.0,-11.43,1
16.87,32.47,-6.7,1
34.33,9.17,41.08,1
44.57,3.44,42.57,1
8.51,47.15,-0.34,1
20.87,45.1,-13.5,1
18.58,27.44,-40.08,0
9.58,26.67,-30.59,0
44.93,32.36,42.86,1
32.18,17.95,47.27,1
28.77,33.43,-8.72,0
18.5,37.17,-12.76,1
15.43,0.05,41.33,0
8.84,40.57,-11.83,1
5.92,25.12,-19.82,1
33.27,24.82,17.15,1
44.4,7.92,15.65,1
1.93,1.33,2.55,0
24.24,9.92,16.97,0
15.22,5.85,5.5,0
20.77,37.08,-9.75,1
34.57,29.29,33.02,1
0.87,48.96,-24.6,1
28.12,31.77,-30.72,0
17.08,24.89,-35.11,0
48.31,39.2,48.61,1
3.44,40.26,-2.59,1
40.96,26.19,28.8,1
2.55,20.96,-38.8,0
31.44,44.16,-8.03,0
34.63,48.1,-28.76,0
40.17,2.24,31.13,1
3.17,39.94,-7.12,1
38.91,20.66,44.55,1
7.55,6.8,20.11,0
7.71,37.25,-31.12,0
27.64,19.78,49.45,1
38.45,2.82,26.45,1
25.38,45.28,-36.97,0
17.75,33.64,-7.78,1
0.85,10.52,-48.62,0
2.32,41.48,-36.41,0
5.67,41.13,-14.85,1
37.95,22.51,46.29,1
31.8,43.89,-4.0,0
20.75,47.98,-9.64,1
42.34,40.24,14.25,1
37.01,24.04,13.34,1
3.27,23.79,-49.25,0
27.15,34.96,-8.99,0
12.69,6.3,16.32,0
39.5,39.84,-20.41,0
0.47,31.73,-14.47,1
30.87,3.6,24.77,1
14.97,18.31,-27.86,0
47.81,40.42,18.74,1
36.43,9.52,8.32,1
13.48,11.41,10.82,0
49.58,46.11,1.94,1
35.89,40.65,-30.04,0
35.23,1.69,43.03,1
30.18,44.53,-8.72,0
34.3,38.81,-2.75,0
22.85,35.75,-45.66,0
34.6,5.49,5.34,1
7.15,21.53,-29.3,0
38.89,32.88,41.55,1
19.93,11.27,9.92,0
1.98,13.28,-7.08,0
46.73,15.31,16.1,1
36.55,44.73,-30.59,0
45.66,21.55,39.15,1
5.48,15.2,-47.69,0
33.86,9.5,45.85,1
3.26,19.03,-16.59,0
12.08,24.61,-10.92,0
32.01,0.92,30.47,1
4.92,41.8,-1.0,1
9.24,42.98,-21.79,1
47.98,43.47,0.73,1
24.85,11.23,26.18,0
19.97,39.36,-17.5,1
15.46,38.9,-39.19,0
39.22,17.55,8.12,1
14.13,31.78,-45.31,0
44.36,5.81,11.97,1
10.41,41.77,-11.92,1
5.58,39.14,-42.06,0
5.95,46.38,-13.5,1
20.24,33.88,-29.64,0
18.47,21.51,-33.3,0
4.89,35.38,-3.52,1
26.26,32.33,-2.27,0
15.78,30.62,-32.02,0
36.85,49.68,-18.41,0
10.44,39.27,-41.75,0
33.31,12.89,19.78,1
49.07,42.71,23.57,1
40.73,6.15,35.46,1
49.14,2.54,34.19,1
5.44,46.02,-6.96,1
11.93,3.28,30.28,0
22.73,32.22,-23.01,1
38.06,27.98,24.87,1
43.86,49.59,-26.8,0
25.25,38.5,-41.9,0
39.96,31.63,48.3,1
45.9,49.58,-49.1,0
47.03,11.25,38.45,1
27.62,7.46,40.12,1
28.06,43.65,-42.36,0
5.16,20.62,-21.98,0
22.23,23.68,-48.7,0
42.07,18.67,25.65,1
26.56,19.62,46.37,1
15.67,28.56,-25.1,0
15.72,27.45,-42.41,0
33.72,22.82,21.62,1
48.97,34.73,15.43,1
11.41,24.17,-15.57,0
29.62,44.47,-45.3,0
26.31,16.75,37.91,1
47.66,42.61,14.21,1
9.61,23.88,-20.24,0
16.86,49.0,-27.64,0
15.0,40.72,-30.72,0
20.13,32.09,-39.68,0
22.18,46.55,-37.61,0
44.03,27.97,11.99,1
20.87,49.65,-5.91,1
20.69,10.2,30.85,0
45.12,32.21,0.27,1
5.46,15.48,-20.88,0
40.56,37.26,45.11,1
47.81,22.7,41.88,1
46.49,34.45,16.32,1
21.77,4.18,35.04,0
40.11,48.77,-8.86,0
39.03,35.82,31.7,1
25.66,9.79,11.45,1
14.84,10.07,29.61,0
4.47,3.37,5.76,0
22.73,8.81,44.94,0
43.85,21.99,10.44,1
7.86,34.68,-16.79,1
3.28,46.42,-4.91,1
0.81,9.13,-27.66,0
22.71,23.29,-35.21,0
19.72,18.89,18.06,0
49.46,46.75,21.86,1
45.28,28.97,19.37,1
12.43,1.89,45.36,0
47.86,25.95,18.02,1
14.08,31.4,-16.65,1
44.38,1.43,13.14,1
7.47,46.8,-22.1,1
39.84,10.21,7.84,1
20.17,33.3,-18.11,1
19.83,37.65,-49.94,0
13.57,14.22,-18.06,0
22.9,8.8,0.26,0
19.57,25.28,-35.66,0
47.49,49.13,-31.68,0
36.55,17.49,19.03,1
8.23,6.72,33.47,0
36.39,36.26,12.32,1
31.5,31.15,1.89,1
44.35,22.26,16.81,1
40.27,35.78,42.93,1
28.05,26.39,1.7,1
40.89,41.58,-31.78,0
36.23,49.69,-16.84,0
30.56,11.84,6.34,1
49.24,30.94,13.8,1
33.1,16.97,17.86,1
25.75,28.94,-33.19,0
22.46,20.38,23.82,0
18.92,31.09,-49.19,0
38.48,1.99,46.15,1
20.0,5.3,37.05,0
1.8,31.86,-46.84,0
28.28,29.46,-31.21,0
1.68,40.22,-35.75,0
36.49,34.75,7.33,1
35.83,20.89,28.53,1
18.73,22.05,-30.04,0
21.29,39.21,-12.96,1
13.81,17.96,-47.97,0
42.37,49.08,-43.5,0
16.04,2.98,31.25,0
29.87,3.94,18.73,1
7.38,13.01,-7.57,0
45.29,4.11,20.52,1
6.5,43.03,-20.91,1
37.12,12.21,24.02,1
11.61,35.71,-22.82,1
15.24,18.77,-33.55,0
25.53,13.66,42.65,1
5.48,19.0,-7.56,0
4.28,46.91,-14.42,1
23.62,44.89,-38.53,0
34.68,13.76,19.36,1
1.41,16.01,-49.37,0
6.32,5.52,8.32,0
22.05,14.65,43.75,0
10.17,37.9,-45.34,0
30.23,14.66,12.52,1
43.72,15.31,20.13,1
0.72,26.67,-14.08,1
22.31,42.05,-1.7,1
41.04,41.33,-4.66,0
32.27,11.06,13.69,1
3.97,38.43,-12.78,1
10.84,19.82,-49.89,0
30.09,47.02,-22.88,0
37.89,20.14,37.27,1
14.35,9.01,20.34,0
13.28,49.65,-3.47,1
5.5,30.92,-11.14,1
0.05,23.53,-37.75,0
43.33,40.14,32.36,1
45.09,44.36,33.09,1
43.02,38.23,42.58,1
29.0,49.61,-47.31,0
33.2,20.6,42.89,1
33.4,13.68,41.22,1
40.94,10.35,2.99,1
16.95,6.02,49.14,0
30.11,24.45,9.47,1
49.52,33.79,31.35,1
30.8,24.54,30.61,1
1.96,25.77,-39.92,0
16.28,1.32,17.66,0
35.68,12.06,36.86,1
48.37,11.46,24.74,1
32.47,20.03,11.66,1
1.35,18.61,-35.97,0
20.72,39.88,-32.71,0
38.21,38.11,30.44,1
16.77,37.96,-10.69,1
34.07,4.21,20.11,1
11.93,8.3,24.21,0
30.65,4.36,28.72,1
38.11,31.67,35.51,1
6.4,49.01,-24.09,1
29.07,41.99,-45.19,0
39.09,3.32,39.28,1
5.56,28.88,-27.16,0
15.85,25.43,-41.52,0
13.6,0.91,8.3,0
11.96,46.01,-22.09,1
4.91,2.03,41.74,0
17.92,42.69,-30.42,0
1.98,36.73,-33.05,0
27.37,37.71,-28.43,0
26.76,23.35,30.15,1
4.18,42.36,-47.98,0
10.11,35.92,-39.94,0
35.51,42.11,-2.97,0
44.9,46.4,-41.45,0
5.52,12.57,-30.96,0
27.05,36.04,-21.89,0
11.8,11.65,16.09,0
7.64,31.45,-22.6,1
32.31,18.05,3.44,1
3.61,24.82,-1.0,0
10.9,15.94,-34.28,0
46.64,15.87,34.21,1
12.43,34.98,-44.82,0
46.55,20.91,17.26,1
0.05,5.43,-13.39,0
3.07,21.76,-39.54,0
5.42,17.95,-38.37,0
13.57,40.43,-9.36,1
6.56,37.66,-28.08,0
30.49,38.42,-21.15,0
47.28,45.76,44.89,1
27.09,26.75,43.15,1
12.75,48.32,-42.61,0
22.86,48.65,-20.1,1
18.54,1.83,35.55,0
39.6,22.3,26.89,1
41.69,24.63,40.87,1
33.16,4.21,48.48,1
24.61,21.11,8.73,0
12.13,45.47,-18.32,1
17.94,20.38,-38.04,0
12.56,8.08,44.42,0
41.44,29.74,33.81,1
32.76,34.35,-46.42,0
27.14,24.51,6.65,1
19.87,13.31,39.42,0
5.44,25.72,-4.67,1
35.69,33.26,35.41,1
12.62,33.94,-38.77,0
2.51,27.35,-30.35,0
9.69,25.24,-19.31,1
39.86,40.3,-32.47,0
