,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,output
96,A14,A34,A46,A65,A74,A92,A101,A123,A143,A152,A173,1,0,12,2012,4,2,61,1,1,0
97,A12,A32,A49,A62,A73,A93,A101,A123,A143,A152,A173,1,0,18,2622,4,4,34,1,1,0
98,A12,A34,A43,A61,A75,A93,A101,A121,A143,A152,A173,1,0,36,2337,4,4,36,1,1,0
99,A12,A33,A41,A65,A74,A93,A101,A122,A141,A151,A174,0,0,20,7057,3,4,36,2,2,0
100,A14,A32,A40,A62,A75,A94,A101,A121,A143,A151,A172,1,0,24,1469,4,4,41,1,1,0
101,A12,A32,A43,A61,A74,A93,A101,A123,A143,A151,A173,1,0,36,2323,4,4,24,1,1,0
102,A14,A33,A43,A61,A73,A92,A101,A121,A143,A152,A173,1,0,6,932,3,2,24,1,1,0
103,A12,A34,A42,A61,A74,A93,A101,A123,A143,A151,A173,0,0,9,1919,4,3,35,1,1,0
104,A14,A32,A41,A65,A72,A94,A101,A123,A143,A151,A173,0,0,12,2445,2,4,26,1,1,0
105,A12,A34,A410,A61,A73,A93,A102,A123,A143,A152,A174,0,0,24,11938,2,3,39,2,2,1
106,A14,A31,A40,A61,A75,A93,A101,A124,A141,A152,A174,0,0,18,6458,2,4,39,2,2,1
107,A12,A32,A40,A61,A74,A93,A101,A123,A143,A152,A173,1,0,12,6078,2,2,32,1,1,0
108,A11,A32,A42,A65,A72,A92,A101,A122,A143,A152,A173,0,1,24,7721,1,2,30,1,1,0
109,A12,A32,A49,A63,A75,A94,A101,A121,A143,A152,A173,0,0,14,1410,1,2,35,1,1,0
110,A12,A33,A49,A62,A75,A91,A101,A123,A141,A152,A173,1,0,6,1449,1,2,31,2,2,0
111,A13,A32,A46,A61,A72,A92,A101,A122,A143,A151,A173,0,0,15,392,4,4,23,1,1,0
112,A12,A32,A40,A61,A74,A93,A101,A121,A143,A151,A172,1,0,18,6260,3,3,28,1,1,0
113,A14,A34,A40,A61,A73,A92,A101,A121,A142,A152,A173,0,0,36,7855,4,2,25,2,1,1
114,A11,A32,A43,A63,A75,A94,A101,A121,A143,A152,A173,1,0,12,1680,3,1,35,1,1,0
115,A14,A34,A43,A65,A75,A93,A101,A121,A143,A152,A173,0,0,48,3578,4,1,47,1,1,0
116,A11,A32,A43,A65,A74,A92,A101,A123,A143,A152,A174,0,0,42,7174,4,3,30,1,1,1
117,A11,A34,A42,A65,A72,A92,A102,A121,A143,A151,A173,1,1,10,2132,2,3,27,2,1,0
118,A11,A34,A42,A63,A73,A92,A101,A123,A143,A152,A173,1,0,33,4281,1,4,23,2,1,1
119,A12,A34,A40,A63,A74,A91,A101,A123,A143,A152,A174,0,0,12,2366,3,3,36,1,1,0
120,A11,A32,A43,A61,A73,A92,A101,A121,A143,A152,A173,0,0,21,1835,3,2,25,2,1,1
121,A14,A34,A41,A61,A75,A92,A101,A123,A143,A151,A174,0,0,24,3868,4,2,41,2,1,0
122,A14,A32,A42,A61,A73,A93,A101,A121,A143,A151,A172,1,0,12,1768,3,2,24,1,1,0
123,A13,A34,A40,A61,A75,A93,A101,A124,A143,A153,A173,0,0,10,781,4,4,63,2,1,0
124,A12,A32,A42,A65,A72,A92,A101,A121,A143,A151,A173,1,0,18,1924,4,3,27,1,1,1
125,A11,A34,A40,A61,A73,A93,A101,A122,A143,A152,A173,1,0,12,2121,4,2,30,2,1,0
126,A11,A32,A43,A61,A73,A94,A101,A121,A143,A152,A172,1,0,12,701,4,2,40,1,1,0
127,A12,A32,A45,A61,A73,A93,A101,A123,A143,A152,A173,1,0,12,639,4,2,30,1,1,1
128,A12,A34,A41,A61,A71,A93,A101,A123,A143,A152,A174,0,0,12,1860,4,2,34,2,1,0
129,A11,A34,A40,A61,A73,A92,A102,A121,A143,A152,A173,1,0,12,3499,3,2,29,2,1,1
130,A12,A32,A40,A65,A74,A92,A101,A123,A143,A152,A173,1,0,48,8487,1,2,24,1,1,0
131,A11,A33,A46,A61,A73,A93,A101,A122,A142,A152,A173,0,0,36,6887,4,3,29,1,1,1
132,A14,A32,A42,A61,A72,A93,A101,A122,A141,A152,A172,1,0,15,2708,2,3,27,2,1,0
133,A14,A32,A42,A61,A73,A93,A101,A124,A141,A153,A173,1,0,18,1984,4,4,47,2,1,0
134,A14,A32,A43,A62,A74,A92,A101,A121,A143,A152,A173,0,0,60,10144,2,4,21,1,1,0
135,A14,A34,A43,A65,A75,A92,A101,A121,A143,A152,A173,0,0,12,1240,4,2,38,2,1,0
136,A14,A33,A41,A64,A73,A93,A101,A123,A143,A152,A173,1,0,27,8613,2,2,27,2,1,0
137,A12,A32,A43,A63,A73,A93,A101,A121,A143,A152,A172,1,0,12,766,4,3,66,1,1,1
138,A12,A34,A43,A65,A74,A93,A103,A121,A141,A152,A173,0,0,15,2728,4,2,35,3,1,0
139,A13,A32,A43,A61,A73,A92,A101,A123,A143,A151,A172,0,0,12,1881,2,2,44,1,1,0
140,A13,A32,A40,A64,A72,A94,A101,A121,A143,A152,A171,1,1,6,709,2,2,27,1,1,0
141,A12,A32,A43,A61,A72,A92,A101,A124,A143,A152,A174,0,0,36,4795,4,1,30,1,1,0
142,A11,A32,A43,A61,A73,A93,A101,A123,A143,A152,A174,1,0,27,3416,3,2,27,1,1,0
143,A11,A32,A42,A61,A73,A93,A101,A123,A143,A152,A173,1,0,18,2462,2,2,22,1,1,1
144,A14,A34,A42,A61,A72,A92,A101,A122,A143,A152,A173,0,0,21,2288,4,4,23,1,1,0
145,A12,A31,A49,A62,A74,A93,A101,A123,A143,A152,A173,1,0,48,3566,4,2,30,1,1,0
146,A11,A34,A40,A61,A75,A92,A101,A124,A143,A152,A173,0,0,6,860,1,4,39,2,1,0
147,A14,A34,A40,A62,A74,A92,A101,A123,A143,A152,A173,0,0,12,682,4,3,51,2,1,0
148,A11,A34,A42,A61,A73,A93,A103,A122,A143,A152,A173,1,0,36,5371,3,2,28,2,1,0
149,A14,A34,A43,A64,A75,A93,A101,A123,A143,A152,A173,1,0,18,1582,4,4,46,2,1,0
150,A14,A32,A43,A62,A75,A93,A101,A124,A141,A153,A173,0,0,6,1346,2,4,42,1,2,0
151,A14,A32,A43,A61,A73,A93,A101,A122,A143,A152,A173,0,1,10,1924,1,4,38,1,1,0
152,A13,A32,A43,A61,A73,A93,A101,A123,A143,A152,A173,1,0,36,5848,4,1,24,1,1,0
153,A12,A34,A41,A64,A75,A92,A101,A124,A143,A151,A173,1,0,24,7758,2,4,29,1,1,0
154,A12,A33,A49,A62,A74,A93,A101,A123,A143,A151,A174,0,0,24,6967,4,4,36,1,1,0
155,A11,A32,A42,A61,A73,A92,A101,A123,A143,A151,A173,1,0,12,1282,2,4,20,1,1,1
156,A11,A34,A45,A62,A75,A93,A103,A121,A143,A152,A173,1,1,9,1288,3,4,48,2,2,0
157,A11,A31,A48,A61,A75,A94,A101,A123,A141,A152,A172,1,0,12,339,4,1,45,1,1,0
158,A12,A32,A40,A62,A74,A93,A101,A123,A141,A152,A173,0,0,24,3512,2,3,38,2,1,0
159,A14,A34,A43,A65,A73,A93,A101,A121,A143,A152,A172,1,0,6,1898,1,2,34,2,2,0
160,A14,A34,A43,A62,A75,A93,A101,A121,A143,A152,A173,0,0,24,2872,3,4,36,1,2,0
161,A14,A34,A40,A61,A72,A92,A101,A122,A143,A152,A173,1,0,18,1055,4,1,30,2,1,0
162,A14,A32,A44,A63,A74,A93,A101,A122,A143,A152,A173,0,0,15,1262,4,3,36,2,1,0
163,A12,A32,A40,A61,A71,A93,A101,A124,A141,A153,A174,0,0,10,7308,2,4,70,1,1,0
164,A14,A32,A40,A63,A75,A93,A101,A122,A143,A152,A173,1,0,36,909,4,4,36,1,1,0
165,A14,A32,A42,A63,A73,A93,A101,A123,A143,A152,A173,0,0,6,2978,1,2,32,1,1,0
166,A11,A32,A42,A61,A71,A92,A101,A123,A143,A152,A173,1,0,18,1131,4,2,33,1,1,1
167,A12,A32,A42,A64,A72,A92,A101,A121,A143,A152,A173,1,0,11,1577,4,1,20,1,1,0
168,A14,A32,A42,A61,A74,A92,A101,A122,A143,A151,A173,0,0,24,3972,2,4,25,1,1,0
169,A12,A34,A49,A61,A75,A91,A101,A121,A143,A152,A173,0,0,24,1935,4,4,31,2,1,1
170,A11,A30,A40,A61,A75,A93,A101,A123,A143,A151,A173,1,0,15,950,4,3,33,2,2,1
171,A14,A32,A42,A61,A73,A92,A101,A121,A143,A152,A173,0,0,12,763,4,1,26,1,1,0
172,A12,A33,A42,A61,A71,A92,A101,A122,A143,A152,A174,0,0,24,2064,3,2,34,1,1,1
173,A12,A32,A43,A61,A73,A93,A103,A121,A143,A152,A173,1,1,8,1414,4,2,33,1,1,0
174,A11,A33,A46,A61,A72,A93,A101,A122,A143,A152,A173,1,0,21,3414,2,1,26,2,1,1
175,A14,A31,A41,A65,A71,A92,A101,A121,A141,A152,A174,0,0,30,7485,4,1,53,1,1,1
176,A11,A32,A42,A61,A73,A91,A101,A123,A143,A152,A173,1,0,12,2577,2,1,42,1,1,0
177,A11,A34,A43,A63,A75,A93,A101,A123,A143,A152,A173,1,0,6,338,4,4,52,2,1,0
178,A14,A32,A43,A61,A74,A93,A101,A123,A143,A151,A174,0,0,12,1963,4,2,31,2,2,0
179,A11,A34,A40,A61,A75,A93,A101,A121,A143,A152,A173,1,0,21,571,4,4,65,2,1,0
180,A14,A33,A49,A61,A72,A91,A101,A123,A143,A152,A173,1,0,36,9572,1,1,28,2,1,1
181,A12,A33,A49,A61,A73,A91,A101,A121,A142,A152,A174,0,0,36,4455,2,2,30,2,1,1
182,A11,A31,A40,A65,A73,A93,A101,A122,A143,A152,A172,1,0,21,1647,4,2,40,2,2,1
183,A14,A34,A42,A64,A73,A93,A101,A121,A143,A152,A173,0,0,24,3777,4,4,50,1,1,0
184,A12,A34,A40,A61,A75,A93,A101,A123,A141,A152,A173,0,0,18,884,4,4,36,1,2,1
185,A14,A34,A43,A61,A73,A93,A101,A122,A143,A152,A173,1,0,15,1360,4,2,31,2,1,0
186,A12,A31,A41,A61,A75,A92,A101,A124,A141,A153,A174,0,0,9,5129,2,4,74,1,2,1
187,A12,A34,A40,A61,A71,A93,A101,A123,A143,A153,A171,0,0,16,1175,2,3,68,3,1,0
188,A11,A32,A43,A62,A74,A94,A101,A122,A143,A152,A173,1,0,12,674,4,1,20,1,1,1
189,A12,A30,A42,A61,A73,A92,A101,A123,A141,A152,A173,0,0,18,3244,1,4,33,2,1,0
190,A14,A32,A49,A64,A73,A93,A101,A122,A143,A152,A174,0,0,24,4591,2,3,54,3,1,1
191,A12,A30,A49,A62,A74,A93,A101,A124,A143,A153,A172,1,0,48,3844,4,4,34,1,2,1
192,A12,A32,A49,A61,A73,A93,A101,A123,A143,A152,A173,0,0,27,3915,4,2,36,1,2,1
193,A14,A32,A43,A61,A74,A94,A101,A121,A143,A151,A173,1,0,6,2108,2,2,29,1,1,0
194,A12,A32,A43,A62,A73,A93,A103,A122,A143,A151,A173,1,0,45,3031,4,4,21,1,1,1
195,A12,A34,A46,A61,A75,A92,A101,A123,A143,A152,A174,0,0,9,1501,2,3,34,2,1,1
196,A14,A34,A43,A61,A73,A92,A101,A123,A143,A152,A173,0,0,6,1382,1,1,28,2,1,0
197,A12,A32,A42,A62,A72,A92,A101,A123,A141,A151,A173,1,0,12,951,4,4,27,4,1,1
198,A12,A32,A41,A65,A75,A93,A101,A124,A141,A153,A173,0,0,24,2760,4,4,36,1,1,0
199,A12,A33,A42,A61,A75,A91,A101,A124,A143,A152,A174,0,0,18,4297,4,3,40,1,1,1
200,A14,A34,A46,A63,A75,A93,A101,A123,A143,A152,A173,0,0,9,936,4,2,52,2,1,0
201,A11,A32,A40,A61,A73,A94,A101,A121,A143,A152,A172,1,0,12,1168,4,3,27,1,1,0
202,A14,A33,A49,A61,A74,A93,A101,A123,A143,A152,A173,1,0,27,5117,3,4,26,2,1,0
203,A11,A32,A48,A61,A74,A94,A101,A122,A143,A151,A173,1,0,12,902,4,4,21,1,1,1
204,A14,A34,A40,A61,A75,A93,A101,A121,A143,A152,A172,1,0,12,1495,4,1,38,2,2,0
205,A11,A34,A41,A61,A75,A93,A101,A124,A143,A153,A174,0,0,30,10623,3,4,38,3,2,0
206,A14,A34,A42,A61,A75,A93,A101,A121,A143,A152,A173,0,0,12,1935,4,4,43,3,1,0
207,A12,A34,A44,A61,A74,A93,A101,A122,A143,A152,A173,1,0,12,1424,4,3,26,1,1,0
208,A11,A32,A49,A61,A73,A94,A101,A123,A142,A152,A172,1,0,24,6568,2,2,21,1,1,0
209,A14,A32,A41,A64,A74,A93,A101,A122,A143,A152,A173,1,1,12,1413,3,2,55,1,1,0
210,A14,A34,A43,A65,A73,A93,A101,A121,A143,A152,A173,1,0,9,3074,1,2,33,2,2,0
211,A14,A32,A43,A65,A75,A92,A101,A121,A143,A152,A172,0,0,36,3835,2,4,45,1,1,0
212,A11,A30,A49,A61,A71,A93,A101,A122,A142,A152,A173,0,0,27,5293,2,4,50,2,1,1
213,A13,A33,A49,A61,A75,A93,A101,A121,A143,A152,A174,0,0,30,1908,4,4,66,1,1,1
214,A14,A34,A43,A65,A75,A93,A101,A123,A143,A152,A173,0,0,36,3342,4,2,51,1,1,0
215,A12,A34,A48,A65,A74,A92,A101,A122,A143,A152,A172,1,0,6,932,1,3,39,2,1,0
216,A11,A30,A49,A61,A74,A93,A101,A122,A141,A152,A173,0,0,18,3104,3,1,31,1,1,0
217,A13,A32,A43,A61,A73,A93,A101,A121,A143,A152,A173,0,0,36,3913,2,2,23,1,1,0
218,A11,A32,A42,A61,A73,A91,A101,A121,A143,A151,A172,1,0,24,3021,2,2,24,1,1,0
219,A14,A32,A40,A61,A73,A92,A101,A123,A143,A152,A173,0,0,10,1364,2,4,64,1,1,0
220,A12,A32,A43,A61,A72,A94,A103,A121,A141,A152,A172,1,0,12,625,4,1,26,1,1,0
221,A11,A32,A46,A65,A73,A92,A101,A122,A141,A151,A173,0,0,12,1200,4,4,23,1,1,0
222,A14,A32,A43,A61,A73,A93,A101,A121,A141,A152,A173,1,0,12,707,4,2,30,2,1,0
223,A14,A33,A49,A65,A73,A93,A101,A121,A143,A152,A173,0,0,24,2978,4,4,32,2,2,0
224,A14,A32,A41,A61,A73,A93,A101,A123,A143,A152,A173,0,0,15,4657,3,2,30,1,1,0
225,A14,A30,A45,A61,A73,A93,A101,A123,A143,A152,A173,1,0,36,2613,4,2,27,2,1,0
226,A12,A32,A43,A64,A74,A93,A102,A124,A141,A152,A173,0,0,48,10961,1,2,27,2,1,1
227,A11,A32,A42,A61,A75,A93,A101,A124,A143,A153,A174,0,0,12,7865,4,4,53,1,1,1
228,A14,A32,A43,A61,A74,A93,A101,A123,A143,A152,A173,1,0,9,1478,4,2,22,1,1,1
229,A11,A32,A42,A61,A72,A93,A101,A124,A141,A153,A173,1,0,24,3149,4,1,22,1,1,0
230,A13,A32,A43,A61,A73,A93,A101,A123,A143,A152,A173,1,0,36,4210,4,2,26,1,1,1
231,A14,A32,A40,A63,A75,A93,A101,A124,A143,A153,A172,1,0,9,2507,2,4,51,1,1,0
232,A14,A32,A43,A62,A74,A93,A101,A124,A143,A152,A173,1,0,12,2141,3,1,35,1,1,0
233,A12,A32,A43,A61,A73,A94,A103,A121,A143,A152,A172,1,0,18,866,4,2,25,1,1,0
234,A14,A34,A43,A61,A74,A93,A101,A121,A143,A152,A172,1,0,4,1544,2,1,42,3,2,0
235,A11,A32,A43,A61,A71,A93,A101,A123,A142,A152,A174,1,0,24,1823,4,2,30,1,2,1
236,A12,A32,A40,A65,A71,A93,A101,A122,A143,A152,A171,0,0,6,14555,1,2,23,1,1,1
237,A12,A32,A49,A62,A75,A91,A101,A123,A141,A151,A172,1,0,21,2767,4,2,61,2,1,1
238,A14,A34,A43,A61,A73,A92,A101,A122,A143,A152,A173,1,0,12,1291,4,2,35,2,1,0
239,A11,A32,A43,A61,A75,A93,A103,A122,A143,A152,A173,1,0,30,2522,1,3,39,1,2,0
240,A11,A32,A40,A65,A75,A92,A101,A123,A141,A152,A173,1,0,24,915,4,2,29,1,1,1
241,A14,A32,A43,A61,A74,A93,A101,A122,A143,A152,A173,1,0,6,1595,3,2,51,1,2,0
242,A11,A30,A41,A61,A75,A93,A101,A124,A143,A153,A173,1,0,48,4605,3,4,24,2,2,1
243,A14,A34,A49,A61,A73,A92,A101,A121,A143,A152,A173,1,0,12,1185,3,2,27,2,1,0
244,A14,A31,A48,A63,A73,A92,A101,A121,A143,A152,A172,1,0,12,3447,4,3,35,1,2,0
245,A14,A32,A49,A61,A74,A93,A101,A121,A143,A152,A173,0,0,24,1258,4,1,25,1,1,0
246,A14,A34,A43,A61,A75,A93,A101,A121,A143,A152,A173,1,0,12,717,4,4,52,3,1,0
247,A14,A30,A40,A62,A73,A93,A101,A124,A141,A151,A173,1,1,6,1204,4,1,35,1,1,0
248,A13,A32,A42,A61,A73,A93,A101,A121,A143,A152,A173,1,0,24,1925,2,2,26,1,1,0
