,0,1,2,3,4,5,6,output
136,0.3,0.37,0.48,0.5,0.43,0.18,0.3,0
137,0.26,0.4,0.48,0.5,0.36,0.26,0.37,0
138,0.4,0.41,0.48,0.5,0.55,0.22,0.33,0
139,0.22,0.34,0.48,0.5,0.42,0.29,0.39,0
140,0.44,0.35,0.48,0.5,0.44,0.52,0.59,0
141,0.27,0.42,0.48,0.5,0.37,0.38,0.43,0
142,0.16,0.43,0.48,0.5,0.54,0.27,0.37,0
143,0.06,0.61,0.48,0.5,0.49,0.92,0.37,1
144,0.44,0.52,0.48,0.5,0.43,0.47,0.54,1
145,0.63,0.47,0.48,0.5,0.51,0.82,0.84,1
146,0.23,0.48,0.48,0.5,0.59,0.88,0.89,1
147,0.34,0.49,0.48,0.5,0.58,0.85,0.8,1
148,0.43,0.4,0.48,0.5,0.58,0.75,0.78,1
149,0.46,0.61,0.48,0.5,0.48,0.86,0.87,1
150,0.27,0.35,0.48,0.5,0.51,0.77,0.79,1
151,0.52,0.39,0.48,0.5,0.65,0.71,0.73,1
152,0.29,0.47,0.48,0.5,0.71,0.65,0.69,1
153,0.55,0.47,0.48,0.5,0.57,0.78,0.8,1
154,0.12,0.67,0.48,0.5,0.74,0.58,0.63,1
155,0.4,0.5,0.48,0.5,0.65,0.82,0.84,1
156,0.73,0.36,0.48,0.5,0.53,0.91,0.92,1
157,0.84,0.44,0.48,0.5,0.48,0.71,0.74,1
158,0.48,0.45,0.48,0.5,0.6,0.78,0.8,1
159,0.54,0.49,0.48,0.5,0.4,0.87,0.88,1
160,0.48,0.41,0.48,0.5,0.51,0.9,0.88,1
161,0.5,0.66,0.48,0.5,0.31,0.92,0.92,1
162,0.72,0.46,0.48,0.5,0.51,0.66,0.7,1
163,0.47,0.55,0.48,0.5,0.58,0.71,0.75,1
164,0.33,0.56,0.48,0.5,0.33,0.78,0.8,1
165,0.64,0.58,0.48,0.5,0.48,0.78,0.73,1
166,0.54,0.57,0.48,0.5,0.56,0.81,0.83,1
167,0.47,0.59,0.48,0.5,0.52,0.76,0.79,1
168,0.63,0.5,0.48,0.5,0.59,0.85,0.86,1
169,0.49,0.42,0.48,0.5,0.53,0.79,0.81,1
170,0.31,0.5,0.48,0.5,0.57,0.84,0.85,1
171,0.74,0.44,0.48,0.5,0.55,0.88,0.89,1
172,0.33,0.45,0.48,0.5,0.45,0.88,0.89,1
173,0.45,0.4,0.48,0.5,0.61,0.74,0.77,1
174,0.71,0.4,0.48,0.5,0.71,0.7,0.74,1
175,0.5,0.37,0.48,0.5,0.66,0.64,0.69,1
176,0.66,0.53,0.48,0.5,0.59,0.66,0.66,1
177,0.6,0.61,0.48,0.5,0.54,0.67,0.71,1
178,0.83,0.37,0.48,0.5,0.61,0.71,0.74,1
179,0.34,0.51,0.48,0.5,0.67,0.9,0.9,1
180,0.63,0.54,0.48,0.5,0.65,0.79,0.81,1
181,0.7,0.4,0.48,0.5,0.56,0.86,0.83,1
182,0.6,0.5,1.0,0.5,0.54,0.77,0.8,1
183,0.16,0.51,0.48,0.5,0.33,0.39,0.48,1
184,0.74,0.7,0.48,0.5,0.66,0.65,0.69,1
185,0.2,0.46,0.48,0.5,0.57,0.78,0.81,1
186,0.89,0.55,0.48,0.5,0.51,0.72,0.76,1
187,0.7,0.46,0.48,0.5,0.56,0.78,0.73,1
188,0.12,0.43,0.48,0.5,0.63,0.7,0.74,1
189,0.61,0.52,0.48,0.5,0.54,0.67,0.52,1
190,0.33,0.37,0.48,0.5,0.46,0.65,0.69,1
191,0.63,0.65,0.48,0.5,0.66,0.67,0.71,1
192,0.41,0.51,0.48,0.5,0.53,0.75,0.78,1
193,0.34,0.67,0.48,0.5,0.52,0.76,0.79,1
194,0.58,0.34,0.48,0.5,0.56,0.87,0.81,1
195,0.59,0.56,0.48,0.5,0.55,0.8,0.82,1
196,0.51,0.4,0.48,0.5,0.57,0.62,0.67,1
197,0.5,0.57,0.48,0.5,0.71,0.61,0.66,1
198,0.6,0.46,0.48,0.5,0.45,0.81,0.83,1
199,0.37,0.47,0.48,0.5,0.39,0.76,0.79,1
200,0.58,0.55,0.48,0.5,0.57,0.7,0.74,1
201,0.36,0.47,0.48,0.5,0.51,0.69,0.72,1
202,0.39,0.41,0.48,0.5,0.52,0.72,0.75,1
203,0.35,0.51,0.48,0.5,0.61,0.71,0.74,1
204,0.31,0.44,0.48,0.5,0.5,0.79,0.82,1
205,0.61,0.66,0.48,0.5,0.46,0.87,0.88,1
206,0.48,0.49,0.48,0.5,0.52,0.77,0.71,1
207,0.11,0.5,0.48,0.5,0.58,0.72,0.68,1
208,0.31,0.36,0.48,0.5,0.58,0.94,0.94,1
209,0.68,0.51,0.48,0.5,0.71,0.75,0.78,1
210,0.69,0.39,0.48,0.5,0.57,0.76,0.79,1
211,0.52,0.54,0.48,0.5,0.62,0.76,0.79,1
212,0.46,0.59,0.48,0.5,0.36,0.76,0.23,1
213,0.36,0.45,0.48,0.5,0.38,0.79,0.17,1
214,0.0,0.51,0.48,0.5,0.35,0.67,0.44,1
215,0.1,0.49,0.48,0.5,0.41,0.67,0.21,1
216,0.3,0.51,0.48,0.5,0.42,0.61,0.34,1
217,0.61,0.47,0.48,0.5,0.0,0.8,0.32,1
218,0.63,0.75,0.48,0.5,0.64,0.73,0.66,1
219,0.71,0.52,0.48,0.5,0.64,1.0,0.99,1
220,0.85,0.53,0.48,0.5,0.53,0.52,0.35,2
221,0.63,0.49,0.48,0.5,0.54,0.76,0.79,2
222,0.75,0.55,1.0,1.0,0.4,0.47,0.3,3
223,0.7,0.39,1.0,0.5,0.51,0.82,0.84,3
224,0.72,0.42,0.48,0.5,0.65,0.77,0.79,4
225,0.79,0.41,0.48,0.5,0.66,0.81,0.83,4
226,0.83,0.48,0.48,0.5,0.65,0.76,0.79,4
227,0.69,0.43,0.48,0.5,0.59,0.74,0.77,4
228,0.79,0.36,0.48,0.5,0.46,0.82,0.7,4
229,0.78,0.33,0.48,0.5,0.57,0.77,0.79,4
230,0.75,0.37,0.48,0.5,0.64,0.7,0.74,4
231,0.59,0.29,0.48,0.5,0.64,0.75,0.77,4
232,0.67,0.37,0.48,0.5,0.54,0.64,0.68,4
233,0.66,0.48,0.48,0.5,0.54,0.7,0.74,4
234,0.64,0.46,0.48,0.5,0.48,0.73,0.76,4
235,0.76,0.71,0.48,0.5,0.5,0.71,0.75,4
236,0.84,0.49,0.48,0.5,0.55,0.78,0.74,4
237,0.77,0.55,0.48,0.5,0.51,0.78,0.74,4
238,0.81,0.44,0.48,0.5,0.42,0.67,0.68,4
239,0.58,0.6,0.48,0.5,0.59,0.73,0.76,4
240,0.63,0.42,0.48,0.5,0.48,0.77,0.8,4
241,0.62,0.42,0.48,0.5,0.58,0.79,0.81,4
242,0.86,0.39,0.48,0.5,0.59,0.89,0.9,4
243,0.81,0.53,0.48,0.5,0.57,0.87,0.88,4
244,0.87,0.49,0.48,0.5,0.61,0.76,0.79,4
245,0.47,0.46,0.48,0.5,0.62,0.74,0.77,4
246,0.76,0.41,0.48,0.5,0.5,0.59,0.62,4
247,0.7,0.53,0.48,0.5,0.7,0.86,0.87,4
248,0.64,0.45,0.48,0.5,0.67,0.61,0.66,4
249,0.81,0.52,0.48,0.5,0.57,0.78,0.8,4
250,0.73,0.26,0.48,0.5,0.57,0.75,0.78,4
251,0.49,0.61,1.0,0.5,0.56,0.71,0.74,4
252,0.88,0.42,0.48,0.5,0.52,0.73,0.75,4
253,0.84,0.54,0.48,0.5,0.75,0.92,0.7,4
254,0.63,0.51,0.48,0.5,0.64,0.72,0.76,4
255,0.86,0.55,0.48,0.5,0.63,0.81,0.83,4
256,0.79,0.54,0.48,0.5,0.5,0.66,0.68,4
257,0.57,0.38,0.48,0.5,0.06,0.49,0.33,4
258,0.78,0.44,0.48,0.5,0.45,0.73,0.68,4
259,0.78,0.68,0.48,0.5,0.83,0.4,0.29,5
260,0.63,0.69,0.48,0.5,0.65,0.41,0.28,5
261,0.67,0.88,0.48,0.5,0.73,0.5,0.25,5
262,0.61,0.75,0.48,0.5,0.51,0.33,0.33,5
263,0.67,0.84,0.48,0.5,0.74,0.54,0.37,5
264,0.74,0.9,0.48,0.5,0.57,0.53,0.29,5
265,0.73,0.84,0.48,0.5,0.86,0.58,0.29,5
266,0.75,0.76,0.48,0.5,0.83,0.57,0.3,5
267,0.77,0.57,0.48,0.5,0.88,0.53,0.2,5
268,0.74,0.78,0.48,0.5,0.75,0.54,0.15,5
269,0.68,0.76,0.48,0.5,0.84,0.45,0.27,5
270,0.56,0.68,0.48,0.5,0.77,0.36,0.45,5
271,0.65,0.51,0.48,0.5,0.66,0.54,0.33,5
272,0.52,0.81,0.48,0.5,0.72,0.38,0.38,5
273,0.64,0.57,0.48,0.5,0.7,0.33,0.26,5
274,0.6,0.76,1.0,0.5,0.77,0.59,0.52,5
275,0.69,0.59,0.48,0.5,0.77,0.39,0.21,5
276,0.63,0.49,0.48,0.5,0.79,0.45,0.28,5
277,0.71,0.71,0.48,0.5,0.68,0.43,0.36,5
278,0.68,0.63,0.48,0.5,0.73,0.4,0.3,5
279,0.77,0.57,1.0,0.5,0.37,0.54,0.01,6
280,0.66,0.49,1.0,0.5,0.54,0.56,0.36,6
281,0.71,0.46,1.0,0.5,0.52,0.59,0.3,6
282,0.67,0.55,1.0,0.5,0.66,0.58,0.16,6
283,0.68,0.49,1.0,0.5,0.62,0.55,0.28,6
284,0.74,0.49,0.48,0.5,0.42,0.54,0.36,7
285,0.7,0.61,0.48,0.5,0.56,0.52,0.43,7
286,0.66,0.86,0.48,0.5,0.34,0.41,0.36,7
287,0.73,0.78,0.48,0.5,0.58,0.51,0.31,7
288,0.65,0.57,0.48,0.5,0.47,0.47,0.51,7
289,0.72,0.86,0.48,0.5,0.17,0.55,0.21,7
290,0.67,0.7,0.48,0.5,0.46,0.45,0.33,7
291,0.67,0.81,0.48,0.5,0.54,0.49,0.23,7
292,0.67,0.61,0.48,0.5,0.51,0.37,0.38,7
293,0.63,1.0,0.48,0.5,0.35,0.51,0.49,7
294,0.57,0.59,0.48,0.5,0.39,0.47,0.33,7
295,0.71,0.71,0.48,0.5,0.4,0.54,0.39,7
296,0.66,0.74,0.48,0.5,0.31,0.38,0.43,7
297,0.67,0.81,0.48,0.5,0.25,0.42,0.25,7
298,0.64,0.72,0.48,0.5,0.49,0.42,0.19,7
299,0.68,0.82,0.48,0.5,0.38,0.65,0.56,7
300,0.32,0.39,0.48,0.5,0.53,0.28,0.38,7
301,0.7,0.64,0.48,0.5,0.47,0.51,0.47,7
302,0.63,0.57,0.48,0.5,0.49,0.7,0.2,7
303,0.74,0.82,0.48,0.5,0.49,0.49,0.41,7
304,0.63,0.86,0.48,0.5,0.39,0.47,0.34,7
305,0.63,0.83,0.48,0.5,0.4,0.39,0.19,7
306,0.63,0.71,0.48,0.5,0.6,0.4,0.39,7
307,0.71,0.86,0.48,0.5,0.4,0.54,0.32,7
308,0.68,0.78,0.48,0.5,0.43,0.44,0.42,7
309,0.64,0.84,0.48,0.5,0.37,0.45,0.4,7
310,0.74,0.47,0.48,0.5,0.5,0.57,0.42,7
311,0.75,0.84,0.48,0.5,0.35,0.52,0.33,7
312,0.63,0.65,0.48,0.5,0.39,0.44,0.35,7
313,0.69,0.67,0.48,0.5,0.3,0.39,0.24,7
314,0.7,0.71,0.48,0.5,0.42,0.84,0.85,7
315,0.69,0.8,0.48,0.5,0.46,0.57,0.26,7
316,0.64,0.66,0.48,0.5,0.41,0.39,0.2,7
317,0.63,0.8,0.48,0.5,0.46,0.31,0.29,7
318,0.66,0.71,0.48,0.5,0.41,0.5,0.35,7
319,0.69,0.59,0.48,0.5,0.46,0.44,0.52,7
320,0.68,0.67,0.48,0.5,0.49,0.4,0.34,7
321,0.64,0.78,0.48,0.5,0.5,0.36,0.38,7
322,0.62,0.78,0.48,0.5,0.47,0.49,0.54,7
323,0.76,0.73,0.48,0.5,0.44,0.39,0.39,7
324,0.64,0.81,0.48,0.5,0.37,0.39,0.44,7
325,0.29,0.39,0.48,0.5,0.52,0.4,0.48,7
326,0.62,0.83,0.48,0.5,0.46,0.36,0.4,7
327,0.56,0.54,0.48,0.5,0.43,0.37,0.3,7
328,0.69,0.66,0.48,0.5,0.41,0.5,0.25,7
329,0.69,0.65,0.48,0.5,0.63,0.48,0.41,7
330,0.43,0.59,0.48,0.5,0.52,0.49,0.56,7
331,0.74,0.56,0.48,0.5,0.47,0.68,0.3,7
332,0.71,0.57,0.48,0.5,0.48,0.35,0.32,7
333,0.61,0.6,0.48,0.5,0.44,0.39,0.38,7
334,0.59,0.61,0.48,0.5,0.42,0.42,0.37,7
335,0.74,0.74,0.48,0.5,0.31,0.53,0.52,7
