0000,0001,0002,0003,0004,0005_at_home,0005_health,0005_other,0005_services,0005_teacher,0006_at_home,0006_health,0006_other,0006_services,0006_teacher,0007_course,0007_home,0007_other,0007_reputation,0008_father,0008_mother,0008_other,0009,0010,0011,0012,0013,0014,0015,0016,17,18,19,20,21,22,23,24,25,26,27,28,29,output
0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,16,4,4,1,2,0,4,4,5,5,5,5,4,1
0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,15,4,4,1,2,0,5,4,2,3,4,5,0,0
0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,0,15,4,4,2,2,0,4,3,1,1,1,5,2,1
0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,1,1,15,4,3,1,2,0,4,5,2,1,1,5,0,1
0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,15,3,3,1,2,0,5,3,2,1,1,2,0,1
0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,16,3,2,1,1,0,5,4,3,1,1,5,4,1
0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,15,2,3,2,1,0,3,5,1,1,1,5,4,0
0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,0,15,4,3,1,3,0,5,4,3,1,1,4,0,1
0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,1,1,1,16,4,4,2,3,0,2,4,3,1,1,5,4,1
0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,1,1,0,15,3,4,1,3,0,4,3,2,1,1,5,2,1
0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,0,0,15,2,2,1,1,0,4,3,1,1,1,2,8,1
0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,1,16,2,2,2,2,0,3,3,3,1,2,3,16,0
0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,1,15,4,4,1,1,0,5,4,3,2,4,5,8,0
0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,15,4,4,1,2,0,4,3,3,1,1,5,0,1
0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,1,0,15,2,2,1,1,0,5,4,1,1,1,1,0,0
0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,1,0,16,2,2,2,2,1,4,3,3,2,2,5,14,0
0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,15,4,3,1,2,0,5,2,2,1,1,5,4,0
0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,0,16,3,3,1,2,0,2,3,5,1,4,3,6,1
0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,16,4,3,1,4,0,4,2,2,1,1,2,2,1
0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,15,4,2,1,2,0,4,3,3,2,2,5,4,1
0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,1,0,15,4,4,1,2,0,4,4,4,1,1,3,2,1
0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,16,2,2,3,2,0,4,3,3,2,3,4,0,1
0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,15,4,2,1,2,0,4,3,3,1,1,5,0,1
0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,15,4,2,2,1,0,5,5,5,3,4,5,4,0
0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,1,1,0,15,4,4,1,1,0,3,3,4,2,3,5,0,1
0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,15,3,3,1,1,0,5,3,4,4,4,1,0,1
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,16,2,1,1,2,0,5,3,4,1,1,2,2,1
0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,0,15,4,3,1,2,0,4,3,2,1,1,1,0,1
0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,15,4,4,1,2,0,3,2,2,1,1,5,8,1
0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,1,1,0,15,1,2,1,2,0,4,3,2,1,1,5,0,1
0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,1,0,16,4,2,1,2,0,4,2,3,1,1,5,2,1
0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,16,4,4,1,2,0,2,4,4,2,3,4,0,1
0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,1,1,1,16,1,1,4,1,0,5,5,5,5,5,5,0,1
0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,1,1,0,16,1,2,1,2,0,4,4,3,1,1,1,0,0
0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,1,1,1,1,0,16,4,3,1,3,0,3,4,4,2,4,4,0,1
0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,1,1,1,15,4,3,1,2,0,4,4,4,2,4,2,0,1
0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,1,1,0,16,4,3,3,2,0,5,4,3,1,2,1,2,1
0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,1,1,15,4,4,1,4,0,1,3,3,5,5,3,0,1
0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,1,0,16,3,1,1,4,0,4,3,3,1,2,5,0,0
0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,1,1,0,15,2,2,2,2,0,4,1,3,1,3,4,0,0
0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,15,3,1,2,4,0,4,4,2,2,3,3,6,1
0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,16,3,1,2,4,0,4,3,2,1,1,5,2,0
0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,15,4,2,1,4,0,3,3,3,1,1,3,0,0
0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,1,15,1,1,1,2,0,3,3,4,2,4,5,2,0
0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,16,3,1,1,1,0,5,3,2,2,2,5,0,1
0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,1,1,1,0,16,3,3,1,2,0,4,3,3,2,4,5,4,0
0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,0,15,4,3,1,2,0,4,3,3,2,3,5,0,0
0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,15,4,0,2,4,0,3,4,3,1,1,1,0,0
0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,16,2,2,1,4,0,5,2,3,1,3,3,1,1
0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,1,1,0,1,0,17,2,1,2,1,3,4,5,1,1,1,3,0,0
0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,16,3,4,1,2,0,2,4,3,1,2,3,14,0
0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,1,1,1,15,2,3,1,1,0,3,2,2,1,3,3,0,1
0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,15,2,3,1,3,0,5,3,2,1,2,5,2,0
0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,15,3,2,1,2,0,4,4,4,1,1,5,4,0
0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,0,15,2,2,2,2,0,5,3,3,1,3,4,2,1
0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,15,1,1,1,2,0,4,3,2,2,3,4,2,1
0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,15,4,4,2,2,0,4,4,4,2,3,5,4,1
0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,16,2,2,1,2,0,4,3,4,1,2,2,6,0
0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,0,15,4,2,1,3,0,5,3,3,1,3,1,4,1
0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,16,2,2,2,2,0,4,4,2,1,1,3,6,0
0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,16,4,4,1,2,0,4,1,3,3,5,5,6,0
0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,1,16,3,3,1,3,0,4,3,3,1,3,4,2,0
0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,15,4,3,1,1,0,4,5,5,1,3,1,6,1
0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,16,3,1,1,2,0,3,3,3,2,3,2,0,1
0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,0,16,4,2,2,2,0,5,3,3,1,1,1,2,1
0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,0,15,2,2,1,4,0,4,3,4,1,1,4,2,1
0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0,15,1,1,2,4,0,3,1,2,1,1,1,4,1
0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1,0,1,1,0,16,4,3,2,1,0,3,3,3,1,1,4,6,0
0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,16,2,1,1,2,0,4,3,5,1,1,5,0,1
0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,16,4,4,1,1,0,5,3,4,1,2,1,4,1
0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,1,0,16,4,3,1,3,0,5,3,5,1,1,3,2,1
0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,1,1,1,1,0,16,4,4,1,1,0,4,5,5,5,5,4,12,0
0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,16,4,4,1,3,0,4,4,3,1,1,4,0,1
0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,1,0,15,4,4,1,1,0,5,3,3,1,1,5,2,1
0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,1,1,1,0,15,3,2,2,2,0,4,3,5,1,1,2,16,0
0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,1,0,15,3,4,1,2,0,5,4,4,1,1,1,0,1
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,15,3,3,1,4,0,4,3,3,1,1,4,10,0
0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,1,0,15,2,2,1,4,0,5,1,2,1,1,3,4,0
0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,1,0,16,3,3,1,3,0,5,3,3,1,1,5,4,1
0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,1,1,15,4,4,4,4,0,1,3,5,3,5,1,8,0
0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,16,4,4,1,3,0,5,4,5,1,1,4,2,1
0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,15,4,4,1,1,0,5,5,3,1,1,4,4,1
0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,0,16,3,3,1,3,0,4,1,2,1,1,2,4,0
0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,1,0,16,2,2,1,2,1,3,1,2,1,1,5,12,0
0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,15,4,2,1,1,0,3,5,2,1,1,3,10,1
0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,15,2,1,1,2,0,5,4,2,1,1,5,4,0
0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,16,4,4,1,2,0,5,4,4,1,2,5,6,1
0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,15,4,4,2,2,0,4,4,3,1,1,2,4,1
0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,16,3,3,2,1,0,5,4,2,1,1,5,6,1
0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,17,1,3,3,2,1,5,2,4,1,4,5,14,0
0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,15,3,4,1,1,0,3,4,3,1,2,4,2,1
0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,15,1,2,1,2,0,3,2,3,1,2,1,0,1
0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,1,1,0,15,2,2,1,4,0,5,5,4,1,2,5,6,1
0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,1,1,16,2,4,2,2,0,4,2,2,1,2,5,2,1
0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,1,0,16,4,4,1,1,0,3,4,4,1,4,5,4,1
0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,16,2,2,1,2,0,5,4,4,1,1,5,0,0
0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,0,15,3,4,1,1,0,5,5,5,3,2,5,2,0
0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,1,1,15,3,4,1,2,0,5,3,2,1,1,1,0,0
0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,19,0,1,1,2,2,3,4,2,1,1,5,0,0
0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,16,4,4,1,1,0,3,5,5,2,5,4,8,1
0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,16,2,3,2,3,0,3,2,3,2,2,1,4,1
0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,15,3,4,2,3,0,4,2,2,2,2,5,0,1
0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,1,18,2,1,1,2,3,5,4,5,1,3,5,10,0
0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0,17,2,1,3,1,0,3,2,2,1,2,5,8,0
0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,1,15,1,1,3,1,0,4,3,3,1,2,4,6,1
0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1,1,17,2,2,1,1,0,3,4,4,1,3,5,2,1
0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,16,3,4,1,1,0,3,2,1,1,4,5,12,1
0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,16,2,1,4,1,0,3,2,1,1,1,2,4,0
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,16,2,2,1,1,1,5,3,4,1,1,5,12,0
0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,15,3,4,4,2,0,5,3,3,1,1,5,2,0
0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,1,1,15,4,4,1,3,0,4,3,3,1,1,5,4,1
0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,17,3,4,3,2,0,5,4,5,2,4,5,2,0
0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,16,1,1,4,2,0,5,1,3,1,1,3,0,1
0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,18,3,1,2,1,0,3,3,4,4,5,4,2,1
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,18,3,2,1,3,0,4,3,3,5,1,5,10,0
0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,1,0,1,16,1,1,2,1,0,3,3,3,1,2,1,8,0
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,16,3,3,2,1,0,4,3,2,1,1,5,4,0
0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,16,1,1,1,2,2,4,4,4,1,3,5,0,0
0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,15,4,4,2,1,0,4,3,2,1,1,5,6,1
0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,15,1,1,3,1,1,5,5,5,1,1,1,2,0
0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,1,0,15,4,3,2,4,0,2,2,2,1,1,3,6,0
0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,15,3,3,1,2,0,1,3,2,2,3,1,24,0
0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,1,1,0,16,4,4,1,3,0,5,3,3,1,3,5,0,1
0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1,0,16,2,2,2,1,0,2,3,3,2,2,2,4,0
0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,1,1,0,15,4,4,1,3,0,4,2,2,1,1,5,2,1
0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,16,1,1,1,1,0,3,4,4,3,3,1,4,0
